#;name;country;state;massif;length_decimals;length;depth_decimals;depth;entrances;terrain_type;source;updated_year;updated_month
533;St.Beatus-Hîhlen;Switzerland;Beatenberg;BE;12015,00;12015;353,00;353;0;Limestone;List of Swiss Long k& Deep Caves;2022;3
344;Chu Yan (Xiniu) Dong;China;Guizhou;An Long;17600,00;17600;355,00;355;0;Limestone;http://www.grottes-et-karsts-de-chine.org/npds/gkc_rcdev50.php?;2017;6
7;The Clearwater System (Gua Air Jernih);Malaysia;Sarawak;Mulu;265882,00;265882;355,10;355;0;Limestone;Matt Kirby email;2025;4
470;Longmen Dong (Conglomerate);China;Sichuan;Yaan;13190,00;13190;356,00;356;0;Conglomerate;www.hongmeigui.net/deepandlong.php;2017;4
365;Aven de la Leicasse;France;Herault;Grands Causses;16530,00;16530;356,00;356;0;Limestone;Jean-Yves Bigot;2016;1
174;Verborgene Hîhle;Austria;Totes Gebirge;Oberîsterreich;30956,00;30956;365,00;365;0;Limestone;Lukas Plan email;2024;6
206;Bigfoot Cave;USA;California;Siskiyou;26151,84;26151;367,28;367;0;Limestone;Scott Linn e-mail;2016;10
98;Reseau des Chuats;France;Drome;Vercors;46468,00;46468;368,00;368;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
496;Weymer Cave System;Canada;;;12739,00;12739;370,00;370;0;Limestone;Pat Shaw e-mail;2022;2
159;Reseau de Bunant;France;Haute Savoie;Parmelan;33500,00;33500;370,00;370;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
374;Pestera din Valea Rea;Romania;Bihor;Mtii Bihor;16357,00;16357;372,00;372;0;Limestone;Victor Ursu e-mal;2022;3
279;Castleguard Cave;Canada;Alberta;Rockies;21311,00;21311;384,00;384;0;Limestone;Canada Long and Deep Caves Assembled by Pat Shaw;2022;8
94;Omega System;USA;Virginia;Wise;47362,99;47362;384,96;384;0;Limestone;Mike Ficco e-mail;2016;6
144;Reseau du Verneau;France;Doubs;Deservillers;35000,00;35000;387,00;387;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
448;Yorkshire Pot;Canada;AB/BC;Rockies;13812,00;13812;389,00;389;0;Limestone;Canada Long and Deep Caves Assembled by Pat Shaw;2022;8
148;Greenlink - Middle Earth System;New Zealand;South Island;Takaka Hill;34902,00;34902;389,00;389;0;Limestone;Lindsay Main NZ Speleological Soc. Info Officer;2020;6
444;Räseau de la Grotte des Chamois;France;Alpes-Cìte d'Azur;Alpes du Sud;13900,00;13900;390,00;390;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
445;Altherrenlabyrinth;Austria;Tennengebirge;Salzburg;13876,00;13876;395,00;395;0;Limestone;Lukas Plan email;2024;6
637;Grubstein-Westwandhîhle;Austria;Totes Gebirge;Steiermark;10485,00;10485;396,00;396;0;Limestone;Lukas Plan email;2024;6
605;Gouffre du Petit Saint Cassien;France;Alpes-Cìte d'Azur;-;10865,00;10865;403,00;403;0;Underwater;Liste des cavites naturelles les plus longues de France;2022;6
627;Karrenschacht;Austria;Totes Gebirge;Steiermark;10640,00;10640;406,00;406;0;Limestone;Lukas Plan email;2024;6
385;Aven Lacas;France;Occitanie;-;16051,00;16051;406,00;406;0;Gypsum;Liste des cavites naturelles les plus longues de France;2022;6
322;ARGO Cave System;Canada;BC;Vancouver Island;18401,00;18401;406,00;406;0;Limestone;Canada Long and Deep Caves Assembled by Pat Shaw;2022;8
545;Windlîcher-Klingertalschacht;Austria;Untersberg;Salzburg;12000,00;12000;411,00;411;0;Limestone;Lukas Plan email;2024;6
330;Reseau de Malissard;France;Isere / Savoie;Chartreuse;18160,00;18160;415,00;415;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
112;Cueva del Tecolote;Mexico;Tamaulipas;Villa Hidalgo;40475,00;40475;424,00;424;0;Limestone;Mark Minton e-mail;2016;5
557;Pestera Sura Mare;Romania;Hnedoara;Mtii Sebesului;11694,00;11694;425,00;425;0;Limestone;Romania-Natural;2022;8
166;Reseau de Coufin-Chevaline;France;Isere;Vercors;32301,00;32301;425,00;425;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
504;Great EX(pectations) Cave;USA;Wyoming;Washakie;12639,79;12639;429,16;429;0;Limestone;NSS News V44N6 (Peter Shifflett);1986;6
483;Cueva del Rio La Venta;Mexico;-;-;13000,00;13000;430,00;430;0;Limestone;Eric Madelanine list;2006;7
411;Complesso Omber en Banda al Bus del Zel-791;Italy;Lombardia;Cariadeghe;15000,00;15000;430,00;430;0;Limestone;http://www.Class.del.g.piulunghe/profon.d'Italia;2017;6
138;Tantalhîhle;Austria;Hagengebirge;Salzburg;35520,00;35520;435,00;435;0;Limestone;Lukas Plan email;2024;6
307;Torca de los Corrales del Trillo (Sistema Pena del Trillo-La Tramasquera);Spain;Cantabria / Burgos;-;19300,00;19300;436,00;436;0;Limestone;Clasificacion Por Desnivel;2016;7
287;Emesine Cave (1881 System);USA;Hawaii;Hawaii;20744,40;20744;436,80;436;0;Lava;Don Coons e-mail;2016;3
451;Räseau d'Ardengost;France;Occitanie;Pyrenees;13720,00;13720;440,00;440;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
230;Hualalai Ranch Cave;USA;Hawaii;Hawaii;24217,00;24217;441,70;441;0;Lava;Doug Medville e-mail;2016;3
95;Er Wang Dong;China;Chongqing;Wulong;47199,00;47199;441,00;441;0;Limestone;www.hongmeigui.net/deepandlong.php;2017;4
675;Sistema de la Torca del Cueto C†rabo - Mina Esperanza;Spain;Bizkaia;Karrantza;10000,00;10000;442,00;442;0;Limestone;Jose Luis Membrado email;2025;1
111;Eisriesenwelt;Austria;Tennengebirge;Salzburg;42000,00;42000;442,00;442;0;Limestone;Lukas Plan email;2024;6
264;Grotta della Bigonda;Italy;Trentino A.A.;Alt.di Asingo;22600,00;22600;450,00;450;0;Limestone;Class.del.g.piu lunghe/profon.d'Italia;2017;6
147;Mesacny tien;Slovakia;Vysoke Tatry;Javorinska Siroka;34994,00;34994;451,00;451;0;Limestone;Branislav ?mida;1999;4
32;Sima del Hayal de Ponata-Rebollar II (SI-44,SI-57,SR-7);Spain;Araba/Bizkaia/Burgos;Sierra Salvada/Gorobel M.;90000,00;90000;451,00;451;0;Limestone;Jose Luis Membrado e-mail;2023;3
618;Offenbarungs-Eishîhle;Austria;Tennengebirge;Salzburg;10785,00;10785;452,00;452;0;Limestone;Lukas Plan email;2024;6
576;Hîlloch;Germany;Bavaria;-;11346,00;11346;452,00;452;0;Limestone;Andreas Wolf List of Longest Caves in Germany;;
493;Hîlloch im Mahdtal;Austria;AllgÑuer Alpen;D(Bayern)/Vorarlberg;12900,00;12900;452,00;452;0;Limestone;Lukas Plan email;2024;6
499;Sistema Torca de los Morteros - Cueva de Imumia;Spain;Burgos;Espinosa de los Monteros;12705,00;12705;453,00;453;0;Limestone;Jose Luis Membrado e-mail;2023;4
665;Grotte du Grand Antoine;France;Auvergne-Rhone-Alpes;-;10154,00;10154;460,00;460;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
332;Pestera de la Izvorul Tausoare;Romania;Bistrita-Nasaud;Mtii Rodnei;18107,00;18107;461,00;461;0;Limestone;Victor Ursu e-mal;2021;10
520;Cuves de Sassenage;France;Auvergne-Rhone-Alpes;-;12295,00;12295;462,00;462;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
598;Fallenfluh-Hîhlenstem (Lauiloch, Dreckiges Paradies);Switzerland;Muotatal;SC;10985,00;10985;464,00;464;0;Limestone;List of Swiss Long k& Deep Caves;2022;3
538;Tham Phi Xua;Laos;Khammouane;Thakhek;12000,00;12000;465,00;465;0;Limestone;Atlas of the Great Caves and Karst of Southeast Asia P113;;
169;Klarahîhle;Austria;Sengsengebirge;Oberîsterreich;31515,00;31515;472,00;472;0;Limestone;Lukas Plan email;2024;6
559;Snail Shell Cave;Malaysia;Sarawak;Gunung Buda;11636,00;11636;473,00;473;0;Limestone;-;;
597;Sistema San Andres;Mexico;Puebla;Ocotempa;10988,00;10988;474,00;474;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;12
572;Aven des Baoudillouns;France;Alpes-Cìte d'Azur;-;11416,00;11416;475,00;475;0;Lava;Liste des cavites naturelles les plus longues de France;2022;6
